"<ID|readonly|noverify>";"<English>";"<Russian>";"<German>";"<French>";"<Spanish>";"<Japanese>";"<Korean>";"<Chinese>";"<HChinese>";"<Polish>"
"controls/Ship.Steer/max";"Steer right";"Поворот направо";"Steuerung rechts";"Virer à droite";"Girar a la derecha";"舵を\t右に";"오른쪽으로 회전";"向\t右\t转";"向\t右\t转";"Skręć w prawo"
"controls/Ship.Throttle";"Ship Throttle/Brake";"Газ/Тормоз корабля";"Schiff beschleunigen/bremsen";"Accélérateur/frein du navire";"Acelerador/Freno del Barco";"船の\tスロットル/ブレーキ";"함선 가속/제동";"舰\t船\t油\t门\t/\t刹\t车";"船\t只\t加\t速\t/\t制\t动";"Statek Gaz/Hamulec"
"controls/Ship.Throttle/max";"Throttle";"Газ";"Schub";"Accélérateur";"Acelerador";"スロットル";"스로틀";"油\t门";"加\t速";"Gaz"
"controls/Ship.Throttle/min";"Brake";"Тормоз";"Bremsen";"Frein";"Freno";"ブレーキ";"브레이크";"刹\t车";"制\t动";"Hamulec"
"controls/Ship.Accel";"Ship Throttle";"Газ корабля";"Schiffsschub";"Accélérateur du navire";"Acelerador del Barco";"船の\tスロットル";"함선 가속";"舰\t船\t油\t门";"船\t只\t加\t速";"Gaz statku"
"controls/Ship.Accel/max";"Throttle";"Газ";"Schub";"Accélérateur";"Acelerador";"スロットル";"스로틀";"油\t门";"加\t速";"Gaz"
"controls/Ship.Brake";"Ship Brake/Reverse";"Тормоз/Задний ход корабля";"Schiff bremsen/Rückwärtsgang";"Frein/marche arrière du navire";"Freno/Reversa del Barco";"船の\tブレーキ/バック";"함선 제동/후진";"舰\t船\t倒\t车\t/\t刹\t车";"船\t只\t制\t动\t/\t倒\t退";"Statek Hamulec/Wsteczny"
"controls/Ship.Brake/max";"Brake";"Тормоз";"Bremsen";"Frein";"Freno";"ブレーキ";"브레이크";"刹\t车";"制\t动";"Hamulec"
"controls/Ship.Horn";"Horn";"Звуковой сигнал";"Hupe";"Klaxon";"Bocina";"クラクション";"경적";"鸣\t笛";"鸣\t笛";"Klakson"
"controls/Human.ToggleHatch";"Look out the hatch";"Выглянуть из люка";"Aus der Luke schauen";"Sortir de la trappe de toit";"Mirar fuera de la escotilla";"ハッチから\t外を\t見る";"해치 내다보기";"探\t出\t舱\t盖";"探\t出\t舱\t盖";"Uważaj na właz"
"controls/cancelMortarAiming";"Cancel";"Отмена";"Abbrechen";"Annuler";"Cancelar";"キャンセル";"취소";"取\t消";"取\t消";"Anuluj"
"controls/switchMortarShellType";"Switch shell type";"Переключить тип снарядов";"Granatentyp wechseln";"Changer de type d'obus";"Cambiar el tipo de proyectil";"Switch shell type";"탄종 변경";"切\t换\t弹\t种";"切\t换\t炮\t弹\t类\t型";"Zmień typ pocisku"
"controls/Wallposter.Place";"Place the wall poster";"Наклеить плакат";"Plakat platzieren";"Placer une affiche";"Colocar el póster en la pared";"ポスターを\t貼る";"포스터 붙이기";"张\t贴\t海\t报";"张\t贴\t海\t报";"Umieść plakat"
"controls/Wallposter.Cancel";"Cancel the wall poster";"Отменить плакат";"Plakat abbrechen";"Retirer une affiche";"Cancelar el póster de la pared";"ポスターをはがす";"포스터 떼기";"揭\t下\t海\t报";"清\t除\t海\t报";"Anuluj umieszczenie plakatu"
"controls/Human.WeapModToggle";"Toggle rifle grenade launcher";"Установить/снять ружейный гранатомёт";"Gewehrgranatenwerfer ein-/ausschalten";"Basculer sur le lance-grenades";"Activar lanzagranadas de rifle";"ライフルグレネードランチャー\t切替";"소총 유탄 발사기 사용";"切\t换\t枪\t榴\t弹";"切\t换\t步\t枪\t榴\t弹\t发\t射\t器";"Przełącz karabinowy granatnik"
"controls/Plane.Rocket";"Shoot rockets";"Пуск ракет";"Raketen abfeuern";"Tirer des roquettes";"Disparar cohetes";"ロケットを\t発射";"로켓 발사";"发\t射\t火\t箭";"使\t用\t火\t箭\t弹";"Wystrzał rakiet"
"controls/Plane.Aim";"Gunner aim";"Прицеливание за стрелка";"Schützenansicht";"Visée du canonnier";"Vista de artillero";"銃手照準";"사수 조준";"机\t枪\t手\t视\t角";"机\t枪\t手\t瞄\t准";"Celowanie strzelcem"
"controls/gyroAimXInvert";"Inverted gyro aiming (X — axis)";"Инвертирование прицеливания гироскопом по оси X";"Invertiertes bewegungssensor (X-Achse)";"Détection de mouvements inversé (axe X)";"Giroscopio de puntería invertido (X — eje)";"ジャイロ\t逆転照準（X\t軸）";"자이로 조준축 반전 (X축)";"陀\t螺\t仪\tX\t轴\t反\t转";"反\t转\t重\t力\t感\t应\t瞄\t准\t（X 轴）";"Odwrócone czujnik ruchu (oś X)"
"controls/gyroAimXInvert/ps4";"Inverted motion sensor aiming (X — axis)";"Инвертирование прицеливания датчика перемещения по оси X";"Umgekehrtes Zielen mit Bewegungssensor (X-Achse)";"Visée capteur de mouvement inversée (axe des x)";"Puntería del sensor de movimiento invertida (Eje — X)";"モーションセンサー\t照準の\t反転 (X\t軸)";"모션 센서 조준 반전 (X축)";"动\t作\t传\t感\t器 X 轴\t反\t转";"运\t动\t传\t感\t器\t瞄\t准\t反\t转\t（X\t轴）";"Odwrócone sterowanie czujnikiem ruchu (oś X)"
"controls/gyroAimXInvert/ps5";"Inverted motion sensor aiming (X — axis)";"Инвертирование прицеливания датчика перемещения по оси X";"Umgekehrtes Zielen mit Bewegungssensor (X-Achse)";"Visée capteur de mouvement inversée (axe des x)";"Puntería del sensor de movimiento invertida (Eje — X)";"モーションセンサー\t照準の\t反転 (X\t軸)";"모션 센서 조준 반전 (X축)";"动\t作\t传\t感\t器 X 轴\t反\t转";"运\t动\t传\t感\t器\t瞄\t准\t反\t转\t（X\t轴）";"Odwrócone sterowanie czujnikiem ruchu (oś X)"
"controls/gyroAimYInvert";"Inverted gyro aiming (Y — axis)";"Инвертирование прицеливания гироскопом по оси Y";"Invertiertes bewegungssensor (Y-Achse)";"Détection de mouvements inversé (axe Y)";"Giroscopio de puntería invertido (Y — eje)";"ジャイロ\t逆転照準（Y\t軸）";"자이로 조준축 반전 (Y축)";"陀\t螺\t仪\tY\t轴\t反\t转";"反\t转\t重\t力\t感\t应\t瞄\t准\t（Y 轴）";"Odwrócone czujnik ruchu (oś Y)"
"controls/gyroAimYInvert/ps4";"Inverted motion sensor aiming (Y — axis)";"Инвертирование прицеливания датчика перемещения по оси Y";"Umgekehrtes Zielen mit Bewegungssensor (Y-Achse)";"Visée capteur de mouvement inversée (axe des y)";"Puntería del sensor de movimiento invertida (Eje — Y)";"モーションセンサー\t照準の\t反転 (Y\t軸)";"모션 센서 조준 반전 (Y축)";"动\t作\t传\t感\t器 Y 轴\t反\t转";"运\t动\t传\t感\t器\t瞄\t准\t反\t转\t（Y\t轴）";"Odwrócone sterowanie czujnikiem ruchu (oś Y)"
"controls/gyroAimYInvert/ps5";"Inverted motion sensor aiming (Y — axis)";"Инвертирование прицеливания датчика перемещения по оси Y";"Umgekehrtes Zielen mit Bewegungssensor (Y-Achse)";"Visée capteur de mouvement inversée (axe des y)";"Puntería del sensor de movimiento invertida (Eje — Y)";"モーションセンサー\t照準の\t反転 (Y\t軸)";"모션 센서 조준 반전 (Y축)";"动\t作\t传\t感\t器 Y 轴\t反\t转";"运\t动\t传\t感\t器\t瞄\t准\t反\t转\t（Y\t轴）";"Odwrócone sterowanie czujnikiem ruchu (oś Y)"
"controls/gyroAimSensitivity";"Gyro aiming speed";"Скорость прицеливания гироскопом";"Bewegungssensor Geschwindigkeit";"Vitesse détection de mouvements";"Velocidad de puntería giroscópica";"ジャイロ\t照準の\t速度";"자이로 조준 속도";"陀\t螺\t仪\t灵\t敏\t度";"重\t力\t感\t应\t瞄\t准\t速\t度";"Prędkość czujnik ruchu"
"controls/gyroAimSensitivity/ps4";"motion sensor aiming speed";"Скорость прицеливания датчиком перемещения";"Bewegungssensor Zielgeschwindigkeit";"Vitesse de visée capteur de mouvement";"velocidad de puntería del sensor de movimiento";"モーションセンサー\t照準速度";"모션 센서 조준 속도";"动\t作\t传\t感\t器\t瞄\t准\t速\t度";"运\t动\t传\t感\t器\t瞄\t准\t速\t度";"szybkość celowania czujnikiem ruchu"
"controls/gyroAimSensitivity/ps5";"motion sensor aiming speed";"Скорость прицеливания датчиком перемещения";"Bewegungssensor Zielgeschwindigkeit";"Vitesse de visée capteur de mouvement";"velocidad de puntería del sensor de movimiento";"モーションセンサー\t照準速度";"모션 센서 조준 속도";"动\t作\t传\t感\t器\t瞄\t准\t速\t度";"运\t动\t传\t感\t器\t瞄\t准\t速\t度";"szybkość celowania czujnikiem ruchu"
"controls/VoteKick.Yes";"Vote Yes";"Голосовать за";"Mit Ja abstimmen";"Votez Oui";"Vota Sí";"はいに\t投票";"찬성 투표";"投\t票\t赞\t成";"投\t票\t赞\t成";"Głosuj na Tak"
"controls/VoteKick.No";"Vote No";"Голосовать против";"Mit Nein abstimmen";"Voter non";"Votar No";"いいえに\t投票";"반대 투표";"投\t票\t反\t对";"投\t票\t反\t对";"Głosuj na Nie"
"controls/pc/useGamepad";"Use gamepad";"Использовать контроллер";"Gamepad benutzen";"Utiliser une manette";"Usar mando";"ゲームパッド\t使用";"게임패드 사용하기";"使\t用\t游\t戏\t手\t柄";"使\t用\t手\t柄";"Użyj kontrolera"
"controls/Replay.DisableHUD";"Disable replay HUD";"Отключить HUD повтора";"Replay HUD ausschalten";"Désactiver le HUD du replay";"Deshabilitar el HUD de la repetición";"Disable replay HUD";"리플레이 HUD 끄기";"隐\t藏\t回\t放\t信\t息\t栏";"关\t闭\t重\t播 HUD";"Ukryj HUD powtórki"
"controls/Replay.DisableGameHUD";"Disable game HUD";"Отключить игровой HUD";"Game HUD ausschalten";"Désactiver le HUD du jeu";"Deshabilitar el HUD del juego";"Disable game HUD";"게임 HUD 끄기";"隐\t藏\t游\t戏\t信\t息\t栏";"关\t闭\t游\t戏 HUD";"Ukryj HUD gry"
"controls/Replay.AdvancedSettings";"Advanced replay settings";"Расширенные настройки повтора";"Erweiterte Replay-Einstellungen";"Paramètres avancés des replays";"Configuración de repeticiones avanzada";"Advanced replay settings";"고급 리플레이 설정";"回\t放\t高\t级\t设\t置";"高\t级\t重\t播\t设\t置";"Ustawienia zaawansowane powtórek"
"controls/Replay.Team1";"Team 1";"Команда 1";"Team 1";"Équipe 1";"Equipo 1";"Team 1";"1 팀";"1 队";"1 队";"Drużyna 1"
"controls/Replay.Team2";"Team 2";"Команда 2";"Team 2";"Équipe 2";"Equipo 2";"Team 2";"2 팀";"2 队";"2 队";"Drużyna 2"
"controls/Replay.Next";"Next player";"Следующий игрок";"Nächster Spieler";"Joueur suivant";"Siguiente jugador";"Next player";"다음 플레이어";"下\t一\t名\t玩\t家";"下\t一\t个\t玩\t家";"Następny gracz"
"controls/Replay.Prev";"Prev player";"Предыдущий игрок";"Vorheriger Spieler";"Joueur précédent";"Jugador anterior";"Prev player";"이전 플레이어";"前\t一\t名\t玩\t家";"上\t一\t个\t玩\t家";"Poprzedni gracz"
"controls/Replay.Pause";"Pause";"Пауза";"Pause";"Pause";"Pausa";"Pause";"일시정지";"暂\t停";"暂\t停";"Pauza"
"controls/Replay.SpeedUp";"Increase speed";"Увеличить скорость";"Geschwindigkeit erhöhen";"Augmenter la vitesse";"Aumentar velocidad";"Increase speed";"재생 속도 증가";"加\t快\t速\t度";"加\t速";"Przyspiesz"
"controls/Replay.SpeedDown";"Decrease speed";"Уменьшить скорость";"Geschwindigkeit verringern";"Diminuer la vitesse";"Disminuir velocidad";"Decrease speed";"재생 속도 감소";"减\t慢\t速\t度";"减\t速";"Spowolnij"
"controls/Replay.Camera1";"Camera 1";"Камера 1";"Kamera 1";"Caméra 1";"Cámara 1";"Camera 1";"1번 카메라";"视\t角\t镜\t头 1";"镜\t头 1";"Kamera 1"
"controls/Replay.Camera2";"Camera 2";"Камера 2";"Kamera 2";"Caméra 2";"Cámara 2";"Camera 2";"2번 카메라";"视\t角\t镜\t头 2";"镜\t头 2";"Kamera 2"
"controls/Replay.Camera3";"Camera 3";"Камера 3";"Kamera 3";"Caméra 3";"Cámara 3";"Camera 3";"3번 카메라";"视\t角\t镜\t头 3";"镜\t头 3";"Kamera 3"
"controls/Replay.NextCamera";"Next camera";"Следующая камера";"Nächste Kamera";"Caméra suivante";"Siguiente cámara";"Next camera";"다음 카메라";"下\t一\t个\t视\t角";"下\t一\t个\t镜\t头";"Następna kamera"
"controls/Replay.PrevCamera";"Prev camera";"Предыдущая камера";"Vorherige Kamera";"Caméra précédente";"Cámara anterior";"Prev camera";"이전 카메라";"前\t一\t个\t视\t角";"上\t一\t个\t镜\t头";"Poprzednia kamera"
"controls/Replay.ToggleCamera";"Toggle free camera";"Переключение свободной камеры";"Freie Kamera einschalten";"Activer la caméra libre";"Activar la cámara libre";"Toggle free camera";"자유 카메라 켜키/끄기";"开\t启\t自\t由\t视\t角";"切\t换\t自\t由\t镜\t头";"Przełącz na kamerę swobodną"
"controls/Replay.RecordVideo";"Record video";"Запись видео";"Video aufnehmen";"Enregistrer une vidéo";"Grabar vídeo";"Record video";"영상 녹화";"录\t制\t视\t频";"录\t制\t视\t频";"Nagraj wideo"
"langAbbreviation";"en";"ru";"de";"fr";"es";"ja";"ko";"zh-cn";"zh-cn";"pl"
"ui/cursor.navigation";"Navigation";"Навигация";"Navigation";"Navigation";"Navegación";"ナビゲーション";"내비게이션";"导\t航";"导\t航";"Nawigacja"
"ui/cursor.scroll";"Scroll";"Прокрутка";"Scrollen";"Défilement";"Desplazar";"スクロール";"스크롤";"滚\t动\t滚\t轮";"滚\t动\t滚\t轮";"Przewiń"
"ui/cursor.activate";"Interact";"Выбрать";"Interagieren";"Interagir";"Interactuar";"インタラクティブ";"상호작용";"交\t互";"交\t互";"Interakcja"
"slider/reduce";"Reduce";"Уменьшить";"Verringern";"Diminuer";"Reducir";"下げる";"감소";"减\t少";"减\t少";"Zredukuj"
"slider/increase";"Increase";"Увеличить";"Erhöhen";"Augmenter";"Aumentar";"上げる";"증가";"增\t加";"增\t加";"Zwiększ"
"Go to battle";"Go to the battle";"Идти в бой";"In den Kampf ziehen";"Poursuivre vers le combat";"Ir a la batalla";"バトルへ";"전투 참여";"加\t入\t战\t斗";"加\t入\t战\t斗";"Dołącz do bitwy"
"Create";"Create";"Создать";"Erstellen";"Créer";"Crear";"作成する";"생성";"创\t建";"创\t建";"Stwórz"
"customRoom/roomName_placeholder";"enter a room name...";"имя комнаты...";"Einen Raumnamen eingeben ...";"entrer un nom d'instance…";"introduce un nombre de sala...";"ルーム\t名を\t入力...";"방 이름을 입력하세요...";"输\t入\t房\t间\t名\t称\t…\t…";"输\t入\t房\t间\t名\t称\t…\t…";"nazwij pokój..."
"msgboxtext/gameIsRunning";"Game is already running";"Игра уже запущена";"Das Spiel läuft bereits.";"Le jeu tourne déjà";"El juego ya se está ejecutando";"ゲームは\t既に\t起動しています";"게임이 이미 실행 중입니다";"游\t戏\t已\t在\t运\t行\t中";"游\t戏\t已\t在\t运\t行\t中";"Gra jest uruchomiona"
"msgboxtext/connectNotAllowed";"Server is not ready yet";"Сервер ещё не готов";"Der Server ist noch nicht bereit.";"Le serveur n'est pas encore prêt";"El servidor no está listo todavía";"サーバーの\t準備ができていません";"서버가 준비되지 않았습니다";"服\t务\t器\t尚\t未\t就\t绪";"服\t务\t器\t尚\t未\t就\t绪";"Server nie jest gotowy"
"msgboxtext/matchingLoggedOut";"Logged out of the server";"Отключён от сервера";"Du wurdest vom Server abgemeldet";"Déconnecté du serveur";"Desconectado del servidor";"サーバーから\tログアウトしました";"서버에서 로그아웃했습니다";"离\t开\t服\t务\t器";"离\t开\t服\t务\t器";"Wylogowanie się z serwerów"
"msgboxtext/matchingDisconnect";"You were disconnected from the server: {error}";"Вы были отключены от сервера: {error}";"Deine Verbindung zum Server wurde getrennt: {error}";"Vous avez été déconnecté du serveur : {error}";"Has sido desconectado del servidor: {error}";"サーバーから\t切断されました：\t{error}";"서버와의 연결이 끊어졌습니다: {error}";"服\t务\t器\t连\t接\t中\t断: {error}";"服\t务\t器\t连\t接\t中\t断：\t{error}";"Zostałeś rozłączony z serwerem gry: {error}"
"gamemenu/btnLinkAccount";"E-mail binding";"Привязка e-mail";"E-Mail-Verknüpfung";"Association d'e-mail";"Vincular correo electrónico";"メールアドレスとの\tリンク";"이메일 연결";"绑\t定\t邮\t箱";"绑\t定\t邮\t箱";"Powiązanie e-mail"
"Proceed";"Proceed";"Продолжить";"Fortfahren";"Poursuivre";"Proceder";"続行する";"계속하기";"执\t行";"执\t行";"Kontynuuj"
"msgboxtext/exitGame";"Are you sure you want to exit the game?";"Вы уверены, что хотите выйти?";"Möchtest du das Spiel wirklich verlassen?";"Voulez-vous vraiment quitter le jeu ?";"¿Estás seguro de que quieres salir del juego?";"本当に\tゲームを\t終了しますか？";"정말로 게임을 종료하시겠습니까?";"是\t否\t要\t退\t出\t游\t戏？";"是\t否\t要\t退\t出\t游\t戏？";"Czy na pewno chcesz opuścić grę?"
"msgboxtext/roomIsFull";"The room is full. Would you like to search for a suitable room?";"Эта комната полна. Хотите поискать подходящую комнату?";"Der Raum ist voll. Möchtest du nach einem passenden Raum suchen?";"L'instance est pleine. Voulez-vous chercher une instance disponible ?";"La sala está llena. ¿Te gustaría buscar una sala adecuada?";"ルームが\t満員です。\t使用できる\tルームを\t検索しますか？";"방의 허용 인원이 초과되었습니다. 이용 가능한 방을 검색할까요?";"房\t间\t已\t满，\t是\t否\t搜\t索\t其\t他\t可\t用\t房\t间？";"房\t间\t已\t满，\t是\t否\t搜\t索\t其\t他\t可\t用\t房\t间？";"Ten pokój jest pełny. Chcesz wyszukać innego pokoju?"
"search by name";"Search by name";"Искать по имени";"Nach Namen suchen";"Chercher par nom";"Buscar por nombre";"名前で\t検索";"이름으로 검색";"按\t名\t称\t搜\t索";"按\t名\t称\t搜\t索";"Wyszukaj po nazwie"
"Find custom game";"Find a custom game";"Найти пользовательскую игру";"Benutzerdefiniertes Spiel";"Trouver une partie personnalisée";"Buscar un juego personalizado";"カスタムゲームを\t探す";"사용자 설정 게임 검색";"寻\t找\t自\t定\t义\t游\t戏";"寻\t找\t自\t定\t义\t游\t戏";"Znajdź niestandardową grę"
"Create game";"Create a game";"Создать игру";"Ein Spiel erstellen";"Créer une partie";"Crear un juego";"ゲームを\t作成する";"게임 생성";"创\t建\t游\t戏";"创\t建\t游\t戏";"Tworzenie rozgrywki"
"No custom games found";"No custom games found";"Не найдено пользовательских игр";"Keine benutzerdefinierten Spiele gefunden";"Pas de partie personnalisée trouvée";"No se han encontrado juegos personalizados";"カスタムゲームが\t見つかりません";"사용자 설정 게임을 찾을 수 없습니다";"找\t不\t到\t自\t定\t义\t游\t戏";"找\t不\t到\t自\t定\t义\t游\t戏";"Nie znaleziono gier niestandardowych"
"Name";"Name";"Имя";"Name";"Nom";"Nombre";"名前";"이름";"用\t户\t名";"用\t户\t名";"Nazwa"
"Game";"Game";"Игра";"Spiel";"Partie";"Juego";"ゲーム";"게임";"游\t戏";"游\t戏";"Gra"
"Status";"Status";"Статус";"Status";"Statut";"Estado";"状態";"상태";"状\t态";"状\t态";"Status"
"Players";"Players";"Игроки";"Spieler";"Joueurs";"Jugadores";"プレイヤー";"플레이어";"玩\t家";"玩\t家";"Gracze"
"Creator";"Creator";"Создатель";"Ersteller";"Créateur";"Creador";"クリエイター";"생성자";"创\t建\t者";"创\t建\t者";"Kreator"
"support";"Support";"Поддержка";"Support";"Assistance";"Soporte";"サポート";"지원";"技\t术\t支\t持";"技\t术\t支\t持";"wsparcie techniczne"
"forum";"Forum";"Форум";"Forum";"Forum";"Foro";"フォーラム";"포럼";"官\t方\t论\t坛";"论\t坛";"Forum"
"feedback";"Feedback";"Обратная связь";"Feedback";"Commentaires";"Opiniones";"フィードバック";"피드백";"反\t馈";"问\t题\t反\t馈";"Feedback"
"Find game";"Find a game";"Игра";"Spielen";"Trouver une partie";"Buscar un juego";"ゲームを\t探す";"게임 찾기";"寻\t找\t游\t戏";"寻\t找\t游\t戏";"Znajdź grę"
"Customization";"Customization";"Кастомизация";"Personalisieren";"Personnalisation";"Personalización";"カスタマイズ";"사용자 설정";"自\t定\t义";"自\t定\t义 （客\t制\t化）";"Dostosowywanie"
"Custom games";"Custom games";"Пользовательские игры";"Passende Spiele";"Parties personnalisées";"Juegos personalizados";"カスタムゲーム";"사용자 설정 게임";"自\t定\t义\t游\t戏";"自\t定\t义\t游\t戏";"Bitwy niestandardowe"
"Start";"Start";"Начать";"Start";"Démarrer";"Iniciar";"開始";"시작";"开\t始";"开\t始";"Start"
"START";"START";"НАЧАТЬ";"START";"DÉMARRER";"INICIAR";"開始";"시작";"开\t始";"开\t始";"START"
"PLAY";"PLAY";"ИГРАТЬ";"SPIELEN";"JOUER";"JUGAR";"プレイ";"플레이";"加\t入\t游\t戏";"加\t入\t游\t戏";"GRAJ"
"BackBtn";"Back";"Назад";"Zurück";"Retour";"Volver";"戻る";"뒤로";"返\t回";"返\t回";"Wstecz"
"BACK";"BACK";"НАЗАД";"ZURÜCK";"RETOUR";"VOLVER";"戻る";"뒤로";"后\t退";"后\t退";"WSTECZ"
"Exit Game";"Exit the game";"Выйти из игры";"Spiel verlassen";"Quitter le jeu";"Salir del juego";"ゲームを\t終了";"게임 종료";"退\t出\t游\t戏";"退\t出\t游\t戏";"Opuść grę"
"Leave queue";"Leave the queue";"Покинуть очередь";"Die Schlange verlassen";"Quitter la file d'attente";"Abandonar la cola";"キューから\t出る";"대기열 떠나기";"退\t出\t排\t队";"退\t出\t排\t队";"Opuścić kolejkę"
"no notifications";"no notifications";"нет уведомлений";"Keine Benachrichtigungen";"pas de notifications";"no hay notificaciones";"通知なし";"알림 없음";"无\t通\t知";"无\t通\t知";"brak notyfikacji"
"Notifications:";"Notifications:";"Уведомления:";"Benachrichtigungen:";"Notifications :";"Notificaciones:";"通知：";"알림:";"通\t知：";"通\t知：";"Powiadomienia:"
"sound/volume_mainmenu_music";"Menu music volume";"Громкость музыки в меню";"Menü-Musiklautstärke";"Volume de la musique du menu";"Volumen de música del menú";"メニュー\t音楽音量";"메뉴 음악 음량";"菜\t单\t音\t乐\t音\t量";"菜\t单\t音\t乐\t音\t量";"Głośność muzyki w menu"
"on";"on";"вкл";"an";"activé";"on";"オン";"켜짐";"开";"开\t启";"włączone"
"off";"off";"выкл";"aus";"désactivé";"off";"オフ";"꺼짐";"关\t闭";"关\t闭";"wyłączone"
"connectingToServer";"Connecting to the server...";"Соединяюсь с сервером...";"Verbinde zum Server ...";"Connexion au serveur en cours…";"Conectando al servidor...";"サーバーに\t接続中...";"서버에 연결하는 중...";"正\t在\t连\t接\t服\t务\t器\t…";"正\t在\t连\t接\t服\t务\t器\t…\t…";"Łączenie z serwerem..."
"chat/sendBtn";"Send";"Отправить";"Senden";"Envoyer";"Enviar";"送信";"보내기";"发\t送";"发\t送";"Wyślij"
"chat/inputPlaceholder";"Type a chat message here...";"Напишите сообщение...";"Gebe hier deine Chatnachricht ein...";"Entrer un message ici…";"Escribe un mensaje de chat aquí...";"ここに\tチャットメッセージを\t入力...";"여기에 대화 메시지를 입력하세요...";"在\t此\t输\t入\t聊\t天\t信\t息\t…\t…";"在\t此\t输\t入\t聊\t天\t信\t息\t…\t…";"Napisz tutaj coś na czacie..."
"error/BAD_VALUE_TYPE";"Incorrect leaderboard type";"Некорректный тип таблицы рекордов";"Ungültige Bestenlistenart";"Type de tableau des scores incorrect";"Tipo de tabla de clasificación incorrecta";"リーダーボードの\t種類が\t間違っています";"비정상적인 순위표 유형";"排\t行\t榜\t类\t型\t不\t正\t确";"排\t行\t榜\t类\t型\t不\t正\t确";"Niewłaściwy typ tabeli wyników"
"error/BAD_CATEGORY";"Incorrect category";"Некорректная категория";"Ungültige Kategorie";"Catégorie incorrecte";"Categoría incorrecta";"カテゴリーが\t間違っています";"비정상적인 범주";"类\t别\t不\t正\t确";"类\t别\t不\t正\t确";"Niewłaściwa kategoria"
"error/NO_SUCH_USERID";"Unknown user";"Неизвестный пользователь";"Unbekannter Benutzer";"Utilisateur inconnu";"Usuario desconocido";"不明な\tユーザー";"알 수 없는 사용자";"未\t知\t用\t户";"未\t知\t用\t户";"Nieznany użytkownik"
"error/INVALID_MODE";"Incorrect Mode";"Некорректный режим";"Ungültiger Modus";"Mode incorrect";"Modo incorrecto";"モードが\t間違っています";"비정상적인 모드";"模\t式\t不\t正\t确";"模\t式\t不\t正\t确";"Niewłaściwy Tryb"
"error/INVALID_GAMEMODE";"Incorrect game mode";"Некорректный игровой режим";"Ungültiger Spielmodus";"Mode de jeu incorrect";"Modo de juego incorrecto";"ゲームモードが\t間違っています";"비정상적인 게임 모드";"游\t戏\t模\t式\t不\t正\t确";"游\t戏\t模\t式\t不\t正\t确";"Niepoprawny tryb gry"
"error/UNSUPPORTED_GAMEMODE";"Unsupported game mode";"Неподдерживаемый режим игры";"Nicht unterstützter Spielmodus";"Mode de jeu non compatible";"Modo de juego no soportado";"サポートされていない\tゲームモードです";"지원되지 않는 게임 모드입니다.";"不\t支\t持\t的\t游\t戏\t模\t式";"游\t戏\t模\t式\t未\t开\t放";"Niewspierany tryb gry"
"error/BANNED";"Access denied - you are banned";"Доступ запрещён - вы забанены";"Zugriff verweigert – Du bist gesperrt";"Accès refusé : vous avez été exclu";"Acceso denegado - estás suspendido";"アクセス\t拒否 - あなたの\tアカウントは\t停止中です";"접근이 거부되었습니다 - 당신은 차단되었습니다";"拒\t绝\t访\t问 ─\t─ 账\t号\t已\t被\t封\t禁";"拒\t绝\t访\t问 您\t已\t被\t封\t禁";"Odmowa dostępu - zostałeś zbanowany"
"error/NEED_VERIFIED_EMAIL";"Your e-mail is not verified";"Ваш e-mail не подтверждён";"Deine E-Mail-Adresse ist nicht bestätigt";"Votre adresse e-mail n'a pas été validée";"Tu e-mail no está verificado";"メールアドレスが\t承認されていません";"이메일이 확인되지 않았습니다";"账\t号\t电\t子\t邮\t箱\t未\t验\t证";"您\t的\t电\t子\t邮\t箱\t未\t通\t过\t验\t证";"Twój e-mail nie został zweryfikowany"
"Queue";"Queue";"Очередь";"Schlange";"File d'attente";"Cola";"キュー";"대기열";"队\t列";"队\t列";"Kolejka"
"queue/positionStatus";"Your position in the queue: {place} out of {total}";"Ваше место в очереди: {place} из {total}";"Deine Position: {place} von {total}";"Votre place dans la file d'attente : {place} sur {total}";"Tu posición en la cola: {place} de {total}";"キュー\t内の\t位置：\t{total}人中{place}番目";"대기열의 현재 위치: {place}/{total}";"您\t在\t队\t列\t中\t的\t位\t置：\t{place}/{total}";"您\t在\t队\t列\t中\t的\t位\t置：\t{place}/{total}";"Twoje miejsce w kolejce: {place} z wszystkich {total}"
"queue/matchingStatus";"Players: {matched} of {needed}";"Игроков: {matched} из {needed}";"Spieler: {matched} von {needed}";"Joueurs : {matched} sur {needed}";"Jugadores: {matched} de {needed}";"プレイヤー：\t{needed}人中{matched}人";"플레이어: {matched}/{needed}";"玩\t家：\t{matched}/{needed}";"玩\t家：\t{matched}/{needed}";"Gracze {matched} z {needed}"
"queue/searching";"Searching for a gaming session... {wait_time}";"Поиск сессии... {wait_time}";"Suche nach einer Spielsession ... {wait_time}";"Recherche de session en cours… {wait_time}";"Buscando una sesión de juego... {wait_time}";"ゲームセッションを\t検索中です... {wait_time}";"게임 세션 검색 중... {wait_time}";"正\t在\t匹\t配\t…\t…\t{wait_time}";"正\t在\t匹\t配\t…\t…\t{wait_time}";"Szukanie pokoju do gry... {wait_time}"
"measureUnits/days";"d";"д.";"d";"j";"d";"d";"일";"天";"天";"d"
"measureUnits/hours";"h";"ч.";"h";"h";"h";"h";"시간";"小\t时";"小\t时";"g"
"measureUnits/minutes";"m";"м.";"m";"min";"m";"m";"분";"分";"分";"m"
